Vendor_Name,Vendor_Code,Brand_Name,Style_Code,Style_Name,Style_Description,Vendor_Colour_Name,Vendor_Colour_Code,IK_Colour_Name,IK_Colour_Code,Size_Unit,Size_Name,Size_Code,Equivalent_US_Size,Equivalent_UK_Size,EAN_Code,Currency,MRP,Season_Name,Season_Code,Year,Country_Of_Origin,HSN_Code,GST_Tax_Slab,Availability,Segment,Portfolio,Department,Vertical,Category,Brick,Occasion,Sleeve,Neck,Collar,Pattern,Fabric_Construction,Fit,Material,Composition,Fabric,Length,Hemline,Rise,Pack_Qty,Pleat,Closure_Type,Weather,Style_Type,Collection,Vendor_Category,Vendor_Brick,Vendor_Season,Vendor_Article_Number,Special_Feature_1,Special_Feature_2,Special_Feature_3
,,Shree,133739801,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Black, S",Black,D,Black,#000000,Other  ,Small,S,,,5715428774840,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398001,,6 pockets,Jeans Intelligence
,,Shree,133739801,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Black, M",Black,D,Black,#000000,Other  ,Medium,M,,,5715428774857,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398002,,6 pockets,Jeans Intelligence
,,Shree,133739801,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Black, L",Black,D,Black,#000000,Other  ,Large,L,,,5715428774864,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398003,,6 pockets,Jeans Intelligence
,,Shree,133739801,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Black, XL",Black,D,Black,#000000,Other  ,X-Large,XL,,,5715428774871,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398004,,6 pockets,Jeans Intelligence
,,Shree,133739801,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Black, XXL",Black,D,Black,#000000,Other  ,XX-Large,XXL,,,5715428774888,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398005,,6 pockets,Jeans Intelligence
,,Shree,133739802,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Shadow, S",Shadow,AL,Light Grey,#d3d3d3,Other  ,Small,S,,,5715428774895,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398006,,6 pockets,Jeans Intelligence
,,Shree,133739802,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Shadow, M",Shadow,AL,Light Grey,#d3d3d3,Other  ,Medium,M,,,5715428774901,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398007,,6 pockets,Jeans Intelligence
,,Shree,133739802,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Shadow, L",Shadow,AL,Light Grey,#d3d3d3,Other  ,Large,L,,,5715428774918,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398008,,6 pockets,Jeans Intelligence
,,Shree,133739802,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Shadow, XL",Shadow,AL,Light Grey,#d3d3d3,Other  ,X-Large,XL,,,5715428774925,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398009,,6 pockets,Jeans Intelligence
,,Shree,133739802,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Shadow, XXL",Shadow,AL,Light Grey,#d3d3d3,Other  ,XX-Large,XXL,,,5715428774932,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398010,,6 pockets,Jeans Intelligence
,,Shree,133739805,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Crockery, S",Crockery,AJ,Light Brown,#964B00,Other  ,Small,S,,,5715601767690,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398024,,6 pockets,Jeans Intelligence
,,Shree,133739805,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Crockery, M",Crockery,AJ,Light Brown,#964B00,Other  ,Medium,M,,,5715601767706,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398021,,6 pockets,Jeans Intelligence
,,Shree,133739805,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Crockery, L",Crockery,AJ,Light Brown,#964B00,Other  ,Large,L,,,5715601767713,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398027,,6 pockets,Jeans Intelligence
,,Shree,133739805,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Crockery, XL",Crockery,AJ,Light Brown,#964B00,Other  ,X-Large,XL,,,5715601767720,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398025,,6 pockets,Jeans Intelligence
,,Shree,133739805,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Crockery, XXL",Crockery,AJ,Light Brown,#964B00,Other  ,XX-Large,XXL,,,5715601767737,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398023,,6 pockets,Jeans Intelligence
,,Shree,133739806,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Forest Night, S",Forest Night,BA,Olive,#808000,Other  ,Small,S,,,5715601767744,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398026,,6 pockets,Jeans Intelligence
,,Shree,133739806,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Forest Night, M",Forest Night,BA,Olive,#808000,Other  ,Medium,M,,,5715601767751,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398028,,6 pockets,Jeans Intelligence
,,Shree,133739806,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AKM, Forest Night, L",Forest Night,BA,Olive,#808000,Other  ,Large,L,,,5715601767768,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398029,,6 pockets,Jeans Intelligence
,,Shree,133739806,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE AK, Forest Night, XL",Forest Night,BA,Olive,#808000,Other  ,X-Large,XL,,,5715601767775,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398022,,6 pockets,Jeans Intelligence
,,Shree,133739806,JJIACE JJBONDI TAPE AKM,"JJIACE JJBONDI TAPE A, Forest Night, XXL",Forest Night,BA,Olive,#808000,Other  ,XX-Large,XXL,,,5715601767782,INR,3999,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Slim,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,1337398030,,6 pockets,Jeans Intelligence
,,Shree,223204401,JJCO KANE CARGO,"JJCO KANE CARGO, Beige, S",Beige,C,Beige,#F5F5DC,Other  ,Small,S,,,5715606772798,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044001,,6 pockets,CORE by JACK & JONES
,,Shree,223204401,JJCO KANE CARGO,"JJCO KANE CARGO, Beige, M",Beige,C,Beige,#F5F5DC,Other  ,Medium,M,,,5715606772804,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044002,,6 pockets,CORE by JACK & JONES
,,Shree,223204401,JJCO KANE CARGO,"JJCO KANE CARGO, Beige, L",Beige,C,Beige,#F5F5DC,Other  ,Large,L,,,5715606772811,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044003,,6 pockets,CORE by JACK & JONES
,,Shree,223204401,JJCO KANE CARGO,"JJCO KANE CARGO, Beige, XL",Beige,C,Beige,#F5F5DC,Other  ,X-Large,XL,,,5715606772828,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044004,,6 pockets,CORE by JACK & JONES
,,Shree,223204401,JJCO KANE CARGO,"JJCO KANE CARGO, Beige, XXL",Beige,C,Beige,#F5F5DC,Other  ,XX-Large,XXL,,,5715606772835,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044005,,6 pockets,CORE by JACK & JONES
,,Shree,223204402,JJCO KANE CARGO,"JJCO KANE CARGO, Black, S",Black,D,Black,#000000,Other  ,Small,S,,,5715606772842,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044006,,6 pockets,CORE by JACK & JONES
,,Shree,223204402,JJCO KANE CARGO,"JJCO KANE CARGO, Black, M",Black,D,Black,#000000,Other  ,Medium,M,,,5715606772859,INR,4499,Core,NOS,2026,India,62034290,0.18,Immediate,Men,International,Clothing,Western_Wear,Bottom_Wear,Trousers,Casual,,,,Solid,Woven,Regular,,Cotton 98% Elastane 2%  ,,Regular,,Mid,,,,,,,PANTS,CARGO,NOOS,2232044007,,6 pockets,CORE by JACK & JONES
